date,Wate Qty,Congestion,Calender
1-Jan-20,36.78,14,New Year's Day
17-Mar-20,51.06,14,St. Patrick's Day
13-Apr-20,48.94,8,Easter Monday
4-May-20,62.16,10,May Day
1-Jun-20,52.22,14,June Bank Holiday
3-Aug-20,48.38,16,August Bank Holiday
26-Oct-20,69.72,14,October Bank Holiday
26-Dec-20,9.84,10,St. Stephen's Day
1-Jan-21,54.68,18,New Year's Day
17-Mar-21,101.48,17,St. Patrick's Day
5-Apr-21,109.76,15,Easter Monday
3-May-21,81.88,15,May Day
7-Jun-21,110.12,19,June Bank Holiday
2-Aug-21,102.44,15,August Bank Holiday
25-Oct-21,75.6,22,October Bank Holiday
26-Dec-21,26.4,14,St. Stephen's Day
